date,kennel,food,bed,treats,collar
2021-01-01,9.0,78.0,15.0,10.0,8.0
2021-01-02,9.0,80.0,17.0,12.0,0.0
2021-01-03,14.0,90.0,17.0,17.0,17.0
2021-01-04,12.0,67.0,12.0,9.0,9.0
2021-01-05,0.0,68.0,9.0,9.0,15.0
2021-01-06,8.0,57.0,11.0,9.0,10.0
2021-01-07,7.0,67.0,11.0,0.0,9.0
2021-01-08,8.0,75.0,10.0,8.0,12.0
2021-01-09,12.0,82.0,9.0,0.0,13.0
2021-01-10,13.0,71.0,17.0,11.0,15.0
2021-01-11,7.0,73.0,12.0,9.0,8.0
2021-01-12,8.0,60.0,12.0,9.0,11.0
2021-01-13,11.0,100.0,14.0,0.0,14.0
2021-01-14,9.0,77.0,15.0,7.0,9.0
2021-01-15,9.0,78.0,0.0,12.0,12.0
2021-01-16,13.0,93.0,9.0,14.0,14.0
2021-01-17,12.0,93.0,10.0,11.0,16.0
2021-01-18,7.0,72.0,9.0,8.0,20.0
2021-01-19,8.0,70.0,8.0,0.0,12.0
2021-01-20,9.0,69.0,0.0,0.0,0.0
2021-01-21,7.0,72.0,11.0,0.0,11.0
2021-01-22,7.0,77.0,0.0,8.0,10.0
2021-01-23,0.0,78.0,10.0,0.0,12.0
2021-01-24,0.0,73.0,13.0,15.0,18.0
2021-01-25,0.0,69.0,10.0,13.0,8.0
2021-01-26,0.0,69.0,10.0,7.0,12.0
2021-01-27,9.0,58.0,16.0,10.0,11.0
2021-01-28,11.0,79.0,12.0,10.0,0.0
2021-01-29,0.0,78.0,11.0,11.0,12.0
2021-01-30,0.0,92.0,13.0,11.0,17.0
2021-01-31,8.0,92.0,19.0,9.0,13.0
2021-02-01,12.0,67.0,11.0,0.0,12.0
2021-02-02,10.0,72.0,8.0,0.0,0.0
2021-02-03,7.0,61.0,11.0,9.0,12.0
2021-02-04,13.0,68.0,18.0,11.0,0.0
2021-02-05,9.0,63.0,13.0,10.0,11.0
2021-02-06,9.0,93.0,9.0,13.0,15.0
2021-02-07,11.0,81.0,13.0,0.0,15.0
2021-02-08,9.0,66.0,8.0,0.0,12.0
2021-02-09,0.0,61.0,10.0,10.0,10.0
2021-02-10,13.0,60.0,11.0,17.0,12.0
2021-02-11,11.0,58.0,8.0,12.0,10.0
2021-02-12,8.0,76.0,9.0,11.0,0.0
2021-02-13,8.0,68.0,12.0,13.0,12.0
2021-02-14,8.0,63.0,11.0,0.0,10.0
2021-02-15,15.0,84.0,12.0,9.0,14.0
2021-02-16,0.0,60.0,10.0,11.0,13.0
2021-02-17,8.0,72.0,11.0,0.0,0.0
2021-02-18,7.0,65.0,11.0,0.0,11.0
2021-02-19,8.0,70.0,16.0,12.0,0.0
2021-02-20,12.0,85.0,16.0,11.0,15.0
2021-02-21,14.0,86.0,12.0,12.0,12.0
2021-02-22,11.0,67.0,15.0,9.0,7.0
2021-02-23,11.0,71.0,13.0,0.0,0.0
2021-02-24,9.0,74.0,0.0,10.0,8.0
2021-02-25,8.0,58.0,11.0,11.0,13.0
2021-02-26,14.0,75.0,10.0,9.0,11.0
2021-02-27,15.0,71.0,13.0,10.0,20.0
2021-02-28,15.0,82.0,12.0,11.0,22.0
2021-03-01,14.0,60.0,10.0,9.0,15.0
2021-03-02,8.0,58.0,11.0,7.0,16.0
2021-03-03,8.0,58.0,9.0,10.0,13.0
2021-03-04,0.0,69.0,13.0,0.0,18.0
2021-03-05,10.0,66.0,0.0,0.0,13.0
2021-03-06,0.0,91.0,18.0,0.0,17.0
2021-03-07,0.0,81.0,15.0,0.0,13.0
2021-03-08,13.0,79.0,8.0,0.0,9.0
2021-03-09,12.0,66.0,11.0,12.0,11.0
2021-03-10,8.0,65.0,0.0,7.0,7.0
2021-03-11,9.0,66.0,12.0,8.0,0.0
2021-03-12,0.0,66.0,13.0,7.0,17.0
2021-03-13,9.0,71.0,9.0,0.0,13.0
2021-03-14,9.0,83.0,18.0,13.0,11.0
2021-03-15,10.0,63.0,12.0,0.0,14.0
2021-03-16,9.0,55.0,10.0,0.0,0.0
2021-03-17,9.0,63.0,12.0,0.0,9.0
2021-03-18,9.0,62.0,7.0,9.0,11.0
2021-03-19,11.0,59.0,10.0,10.0,12.0
2021-03-20,11.0,77.0,9.0,8.0,11.0
2021-03-21,12.0,78.0,14.0,10.0,17.0
2021-03-22,11.0,67.0,11.0,7.0,19.0
2021-03-23,11.0,77.0,9.0,13.0,15.0
2021-03-24,9.0,73.0,7.0,9.0,13.0
2021-03-25,13.0,79.0,7.0,0.0,12.0
2021-03-26,0.0,56.0,13.0,0.0,8.0
2021-03-27,11.0,78.0,11.0,0.0,12.0
2021-03-28,10.0,81.0,12.0,9.0,16.0
2021-03-29,11.0,60.0,12.0,11.0,10.0
2021-03-30,9.0,78.0,8.0,0.0,10.0
2021-03-31,8.053835800807537,78.52489905787348,11.074024226110364,0.0,11.074024226110364
2021-04-01,7.047106325706595,69.46433378196501,0.0,0.0,8.053835800807537
2021-04-02,8.053835800807537,83.5585464333782,10.06729475100942,8.053835800807537,16.107671601615074
2021-04-03,14.09421265141319,83.5585464333782,0.0,11.074024226110364,16.107671601615074
2021-04-04,0.0,64.4306864064603,9.060565275908479,0.0,21.141318977119784
2021-04-05,11.074024226110364,78.52489905787348,0.0,0.0,11.074024226110364
2021-04-06,8.053835800807537,63.423956931359356,9.060565275908479,0.0,10.06729475100942
2021-04-07,9.060565275908479,62.41722745625841,7.047106325706595,0.0,16.107671601615074
2021-04-08,11.074024226110364,70.47106325706595,0.0,0.0,11.074024226110364
2021-04-09,0.0,75.50471063257066,0.0,11.074024226110364,12.080753701211306
2021-04-10,12.080753701211306,74.49798115746972,14.09421265141319,14.09421265141319,11.074024226110364
2021-04-11,15.100942126514132,82.55181695827726,0.0,0.0,12.080753701211306
2021-04-12,16.107671601615074,61.41049798115747,0.0,7.047106325706595,12.080753701211306
2021-04-13,8.053835800807537,58.39030955585464,11.074024226110364,0.0,7.047106325706595
2021-04-14,10.06729475100942,70.47106325706595,0.0,12.080753701211306,13.087483176312247
2021-04-15,7.047106325706595,71.47779273216689,8.053835800807537,0.0,9.060565275908479
2021-04-16,9.060565275908479,66.44414535666218,10.06729475100942,9.060565275908479,0.0
2021-04-17,12.080753701211306,76.5114401076716,13.087483176312247,0.0,13.087483176312247
2021-04-18,9.060565275908479,76.5114401076716,16.107671601615074,16.107671601615074,17.114401076716018
2021-04-19,15.100942126514132,70.47106325706595,0.0,14.09421265141319,14.09421265141319
2021-04-20,10.06729475100942,74.49798115746972,11.074024226110364,10.06729475100942,19.1278600269179
2021-04-21,9.060565275908479,71.47779273216689,8.053835800807537,10.06729475100942,13.087483176312247
2021-04-22,11.074024226110364,67.45087483176312,14.09421265141319,10.06729475100942,9.060565275908479
2021-04-23,0.0,59.39703903095558,10.06729475100942,10.06729475100942,10.06729475100942
2021-04-24,13.087483176312247,78.52489905787348,10.06729475100942,0.0,12.080753701211306
2021-04-25,9.060565275908479,76.5114401076716,11.074024226110364,8.053835800807537,16.107671601615074
2021-04-26,14.09421265141319,71.47779273216689,0.0,10.06729475100942,14.09421265141319
2021-04-27,0.0,59.39703903095558,0.0,11.074024226110364,9.060565275908479
2021-04-28,9.060565275908479,74.49798115746972,8.053835800807537,0.0,18.121130551816957
2021-04-29,0.0,62.41722745625841,11.074024226110364,8.053835800807537,15.100942126514132
2021-04-30,10.06729475100942,76.5114401076716,9.060565275908479,0.0,9.060565275908479
2021-05-01,8.053835800807537,70.47106325706595,11.074024226110364,12.080753701211306,9.060565275908479
2021-05-02,9.060565275908479,80.53835800807536,10.06729475100942,10.06729475100942,15.100942126514132
2021-05-03,10.06729475100942,66.44414535666218,0.0,0.0,10.06729475100942
